economy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
VEN,47.914,48.527,47.765,46.462,47.558,49.457,50.019,49.726,49.734,50.004,49.601,49.643,49.493,49.084,48.676,48.27,47.867,46.185,44.85,42.344,36.887,37.368,35.32,36.158
VGB,,,,,,,,,,,,,,,,,,,,,,,,
VIR,55.876,58.251,57.463,56.185,58.212,59.425,60.019,60.908,60.804,60.479,58.753,59.048,57.313,53.912,53.283,55.655,55.592,56.528,52.911,50.563,50.614,51.8,52.915,52.999
VNM,69.974,71.493,70.833,70.353,70.098,70.381,70.727,71.138,71.55,71.906,71.731,71.715,71.983,72.906,73.059,72.863,72.53,72.575,72.897,71.511,69.095,69.107,69.878,69.215
VUT,73.747,74.02,74.389,74.318,74.259,74.144,73.902,70.29,66.403,62.273,57.944,57.502,57.059,56.616,56.172,55.728,55.283,54.838,54.395,53.95,53.445,54.624,53.631,53.604
WLD,50.9627998491673,50.8211605735693,50.712153809378,50.660958758536,50.600497131926,50.6071680012442,50.3543559340242,50.2190340623476,49.9080776947947,49.6873782866243,49.3502777396598,49.154906097423,48.8986543312152,48.7493486836512,48.5946413653695,48.5463086828544,48.4632199883405,48.3737139576476,48.3048226894161,48.2843403158836,46.9801551174139,47.8921671536065,48.3162129639076,49.0297087675013
WSM,42.495,42.289,42.148,42.037,41.978,41.864,41.812,41.753,41.65,41.61,41.495,41.41,41.437,41.461,41.461,41.422,41.385,41.376,39.417,37.466,35.207,33.491,31.149,31.158
XKX,,,,,,,,,,,,,,,,,,,,,,,,
YEM,20.208,18.896,17.652,16.475,15.367,14.327,13.349,12.428,11.561,10.747,9.982,8.785,7.734,6.815,6.011,5.207,5.117,5.041,4.987,4.937,4.899,4.875,4.801,4.752
ZAF,46.583,46.836,47.089,47.33,47.539,47.708,47.846,47.968,48.062,46.384,44.76,45.149,45.333,46.273,46.492,47.716,47.74,48.632,48.518,48.579,44.148,45.413,47.118,49.052
ZMB,51.126,51.159,51.196,51.23,51.259,51.284,51.31,51.337,51.37,51.408,51.451,51.495,51.545,51.61,51.691,51.787,51.893,52.012,52.138,52.172,54.406,54.123,53.968,56.361
ZWE,60.878,60.995,61.038,61.011,60.961,60.907,60.871,60.837,60.774,60.685,60.585,60.495,60.424,60.373,60.359,60.384,60.441,60.522,60.617,60.719,59.43,60.12,59.769,62.178
